"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
8,15,5,18,11,17
7,4,14,15,16,18
4,0,10,21,22,7
1,0,5,28,27,0
3,5,1,9,13,0
1,5,0,4,6,0
0,2,0,0,1,0
0,1,0,1,5,0
0,3,0,0,7,0
5,6,6,1,7,0
11,24,9,3,2,1
13,25,8,3,1,5
11,23,8,15,9,8
9,23,6,17,8,12
7,26,8,19,2,21
17,5,10,16,4,21
10,24,12,6,11,19
13,28,17,12,4,18
8,34,18,25,0,18
9,24,13,19,7,20
12,26,14,17,5,19
13,16,11,16,15,18
11,25,13,20,8,19
10,21,10,11,8,16
4,20,8,16,9,18
8,11,2,22,19,11
1,0,0,12,2,12
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,1,0
2,6,0,3,4,0
0,1,0,0,7,0
1,1,0,6,0,0
2,1,0,2,6,0
10,17,9,2,1,1
8,29,16,5,1,7
13,28,16,13,2,12
12,27,11,20,6,24
18,35,16,18,1,19
13,26,15,13,6,18
12,23,15,14,8,18
10,21,15,15,9,14
10,13,9,15,16,21
14,21,11,18,10,21
9,18,12,20,10,19
9,28,11,23,4,22
9,21,11,24,9,22
9,29,14,21,1,19
20,25,10,11,7,19
8,13,5,23,11,21
3,3,5,15,18,11
2,0,4,26,28,0
5,4,0,18,18,0
15,0,0,7,0,0
2,0,0,4,0,0
0,0,0,3,0,0
1,0,0,8,0,0
9,9,4,6,2,1
15,30,15,5,1,0
25,27,19,5,0,6
18,24,14,12,7,13
9,14,4,12,13,17
7,15,17,12,13,18
8,26,13,16,7,16
18,14,16,16,14,14
9,22,18,14,8,18
11,15,13,17,15,19
11,17,19,18,15,19
11,18,18,15,13,17
8,19,9,19,13,23
9,21,10,19,12,22
11,29,15,17,5,18
14,20,5,14,8,17
10,12,6,19,15,22
1,3,6,21,22,9
3,4,2,24,23,0
1,6,0,8,8,0
0,8,0,3,8,0
1,1,0,2,6,0
0,0,0,0,0,0
0,2,0,0,3,0
8,13,6,1,7,1
14,32,16,2,0,4
26,30,18,5,0,8
13,25,13,12,4,14
9,15,11,16,14,19
8,13,11,19,17,22
9,27,18,18,6,18
16,24,16,13,9,17
10,23,16,15,7,19
11,16,7,14,14,17
10,19,17,19,12,21
12,20,18,17,10,18
9,14,15,15,17,17
7,28,15,17,7,15
13,19,14,15,11,16
11,16,6,12,13,14
9,6,8,21,21,19
1,0,10,21,23,9
1,1,5,23,23,0
0,9,0,10,10,0
1,7,0,0,2,0
0,2,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
4,13,5,0,11,1
19,26,13,4,0,3
27,26,18,3,2,7
21,22,17,11,9,10
8,15,7,18,14,21
7,26,12,21,4,20
10,19,11,19,9,16
14,19,13,13,11,14
9,23,13,17,10,17
8,23,11,20,9,16
11,17,14,21,13,20
11,24,20,18,9,16
9,23,12,16,9,19
9,23,10,16,8,19
14,23,14,16,10,14
10,16,1,15,11,19
8,10,5,19,18,19
1,4,6,23,20,11
2,0,10,25,27,0
3,5,0,3,8,0
1,4,0,4,1,0
0,2,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
6,10,6,2,0,1
16,31,17,3,0,2
21,35,19,6,0,8
18,24,16,14,6,13
8,19,5,16,12,20
7,21,16,16,11,18
12,21,13,14,9,17
12,22,13,15,7,19
7,20,17,16,13,15
9,18,9,19,10,20
10,15,15,16,15,20
11,21,15,18,8,16
10,25,13,20,8,24
9,21,11,12,12,15
12,24,16,16,8,19
10,16,3,13,10,22
8,13,2,19,14,20
0,5,6,20,20,10
1,4,2,23,21,0
1,6,0,2,10,0
3,5,0,0,5,0
2,1,0,0,5,0
0,3,0,2,3,0
0,0,0,0,4,0
2,0,2,0,0,0
24,32,15,4,0,1
25,27,21,7,0,10
16,24,14,9,8,15
9,14,6,13,14,22
9,23,14,21,8,20
13,21,13,16,11,19
14,24,16,13,8,15
6,21,14,14,10,19
10,14,13,17,17,18
8,22,16,19,8,21
11,23,13,16,6,14
5,20,7,21,6,26
12,23,13,22,3,20
16,16,14,13,9,17
11,18,3,15,9,19
4,12,4,19,15,22
1,4,6,25,22,8
2,4,4,18,23,0
1,5,0,5,6,0
3,7,0,2,4,0
0,3,0,0,2,0
2,2,0,2,4,0
2,3,0,1,7,0
2,1,0,1,8,0
0,0,0,0,0,0
7,9,8,2,0,4
17,28,17,14,4,17
15,23,13,17,8,19
11,26,14,17,2,15
11,22,8,17,6,18
13,22,11,14,10,18
6,24,12,17,7,19
13,17,12,15,14,20
9,18,16,20,11,18
11,17,13,15,9,17
6,19,7,14,11,19
5,22,9,17,10,14
10,16,13,16,10,16
10,20,3,10,8,14
4,8,4,18,16,14
1,2,4,23,19,6
1,5,3,15,18,0
0,9,0,0,8,0
0,8,0,0,2,0
0,2,0,0,3,0
0,2,0,0,6,0
0,4,0,0,12,0
3,5,4,0,6,1
21,25,19,5,0,3
26,30,15,4,0,9
18,28,12,14,4,12
10,17,3,15,11,23
7,21,15,18,9,18
9,22,13,20,7,20
14,27,12,15,4,19
10,22,12,16,8,19
12,19,12,14,8,19
6,18,11,19,12,21
11,25,17,19,9,17
6,21,7,17,11,23
11,20,11,18,9,16
15,23,12,16,8,21
10,25,5,15,5,18
6,8,4,20,18,18
1,1,9,21,19,8
0,1,3,25,25,0
0,10,0,2,13,0
0,10,0,0,2,0
0,1,0,0,3,0
0,1,0,0,6,0
0,4,0,0,7,0
5,6,5,0,8,1
14,32,13,4,1,1
26,33,19,2,1,7
17,28,11,15,3,13
7,19,5,15,12,16
9,21,13,16,10,18
8,23,13,16,9,20
15,26,14,14,3,17
10,23,11,16,11,17
9,12,12,17,10,19
6,15,16,22,17,21
16,25,13,19,5,20
8,24,8,22,8,24
13,25,14,20,8,19
15,26,13,18,6,21
12,21,5,16,7,20
6,12,6,21,13,21
0,3,4,19,20,10
2,3,0,23,19,0
4,8,0,12,10,0
4,0,0,4,0,0
3,0,0,4,0,0
2,0,0,5,0,0
2,0,0,10,0,0
6,11,4,3,2,2
15,34,15,3,0,1
23,29,17,6,1,8
15,29,17,17,1,14
8,18,6,18,11,22
8,23,13,17,9,21
10,24,15,16,8,18
11,16,14,15,12,18
6,22,17,21,7,18
14,18,13,18,12,20
8,23,17,20,5,22
11,24,10,17,6,16
8,19,12,20,13,20
6,23,13,15,10,17
0,0,0,4,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,0
2,2,0,2,0,0
4,2,0,17,12,0
9,0,0,4,0,0
3,0,0,2,0,0
2,0,0,7,0,0
3,0,0,7,0,0
7,5,4,8,0,1
16,34,16,3,0,4
18,30,15,7,0,6
14,26,13,11,5,16
5,15,7,16,15,18
8,20,14,15,10,18
2,17,11,18,8,19
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,3,5,4,4,5
9,29,18,19,6,15
14,24,15,17,9,18
11,11,9,13,12,16
12,5,13,20,22,18
1,0,10,19,17,8
0,0,9,29,26,0
2,7,0,7,10,0
3,4,0,5,8,0
0,1,0,2,4,0
1,4,0,4,5,0
1,2,0,0,6,0
4,7,3,1,5,0
16,27,17,4,2,1
20,31,17,6,0,6
18,25,16,13,4,16
10,20,6,16,8,22
7,21,10,19,9,20
12,23,14,19,9,18
17,25,10,15,4,18
6,21,13,18,7,20
6,20,9,21,10,22
11,25,11,21,6,21
8,25,11,21,9,17
13,21,19,21,11,17
7,18,5,14,5,15
0,0,0,0,0,0
6,10,8,8,5,7
9,16,7,21,15,21
3,3,6,20,19,9
2,2,3,25,25,0
1,7,0,7,10,0
1,2,0,4,3,0
2,2,0,0,5,0
1,3,0,1,3,0
0,1,0,0,7,0
3,7,4,1,5,3
13,31,13,4,0,2
21,39,23,6,0,8
18,25,12,15,5,13
7,18,7,17,11,22
8,19,14,15,12,20
10,27,13,18,1,21
13,23,11,16,3,22
6,31,11,18,1,23
6,19,8,20,2,24
8,30,8,25,0,24
12,27,11,18,2,20
6,22,8,21,4,23
9,22,10,22,5,21
17,24,12,20,2,21
13,19,3,16,9,22
10,18,6,20,10,23
1,4,4,21,18,9
2,0,6,26,26,0
2,9,0,4,11,0
2,4,0,2,7,0
1,2,0,1,3,0
0,3,0,0,7,0
0,4,0,0,8,0
7,4,3,0,6,2
12,27,12,6,1,2
25,36,22,5,0,9
17,29,21,14,2,15
6,23,4,26,2,24
10,24,10,19,4,21
8,32,11,20,1,23
13,25,12,18,1,22
10,22,13,19,9,15
10,18,11,22,4,25
9,31,11,24,2,23
11,32,8,22,1,24
10,28,7,23,0,26
4,25,5,22,1,25
10,32,11,22,0,22
11,27,3,20,1,25
4,22,2,27,2,26
3,5,5,27,15,12
1,0,6,24,25,0
1,7,0,7,9,0
2,7,0,1,3,0
1,2,0,2,1,0
1,1,0,3,7,0
4,0,0,0,7,0
6,9,6,2,5,1
12,30,19,2,0,3
22,31,15,5,0,10
15,28,12,15,2,18
7,24,7,23,2,23
13,25,10,20,3,23
11,22,12,15,10,17
9,21,14,14,9,18
12,21,15,15,8,18
11,17,11,14,15,18
7,25,16,19,10,20
11,23,13,18,6,18
9,24,11,18,0,22
7,30,4,25,0,24
11,22,10,21,0,21
12,23,2,18,1,22
4,12,4,25,2,22
1,5,6,24,13,12
1,1,4,22,21,0
2,6,0,11,9,0
3,6,0,2,4,0
1,2,0,1,2,0
0,3,0,1,3,0
0,2,0,0,8,0
7,7,3,1,8,0
22,27,15,4,0,1
24,26,19,4,0,8
12,22,16,13,5,14
7,18,5,16,12,19
8,27,14,15,4,22
8,26,9,23,1,23
14,24,16,13,5,20
11,21,13,20,1,20
9,19,9,21,4,23
8,24,7,25,6,20
8,26,12,20,5,23
11,25,11,20,5,22
11,21,11,16,12,21
11,26,12,17,8,20
15,18,7,14,12,19
7,14,3,18,18,17
1,1,2,22,23,8
2,2,2,21,22,0
2,7,0,5,7,0
1,2,0,0,0,0
0,3,0,1,4,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
20,30,17,2,0,7
13,27,14,19,2,19
5,20,8,19,10,22
11,26,14,20,4,22
9,23,14,19,0,23
9,32,11,21,0,19
8,23,11,23,0,23
6,25,6,27,0,27
8,32,6,25,0,24
9,28,10,19,1,25
11,25,15,19,6,18
6,26,7,25,3,24
15,22,12,16,6,15
13,22,1,14,6,20
3,8,3,21,7,24
0,2,4,24,13,9
0,3,4,19,20,0
0,9,0,0,9,0
0,6,0,0,3,0
0,5,0,1,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,10,7,1,0,0
28,32,16,5,0,7
10,28,18,17,1,17
4,23,2,25,0,23
9,21,10,19,2,19
8,21,12,20,1,22
10,29,9,21,0,23
7,32,9,18,2,22
10,29,6,25,0,25
7,29,7,25,3,23
2,32,9,21,2,22
7,34,6,22,1,26
4,31,3,27,0,24
9,28,9,22,0,23
9,27,2,17,1,22
7,12,2,24,3,24
0,5,5,25,15,8
4,3,5,22,22,0
3,6,0,6,8,0
3,4,0,3,3,0
0,0,0,3,3,0
2,3,0,2,3,0
1,2,0,0,8,0
0,0,0,0,0,0
13,31,16,2,0,3
20,33,15,4,0,7
12,27,16,16,0,19
8,30,6,24,2,23
9,27,7,22,2,23
11,29,9,19,1,18
13,27,5,18,2,21
5,26,8,18,3,20
13,27,9,20,6,23
3,25,5,24,3,24
10,23,7,21,5,23
12,35,12,18,0,19
5,23,8,22,2,23
15,30,8,21,1,22
7,22,6,18,1,20
5,14,1,23,2,21
0,2,3,23,11,13
0,1,11,23,23,0
2,3,0,12,7,0
0,7,0,5,0,0
0,4,0,3,0,0
0,1,0,7,0,0
1,7,0,3,1,0
5,6,4,11,0,1
21,29,17,3,1,3
27,28,15,4,0,8
12,26,11,12,4,14
5,14,8,17,11,22
8,18,13,18,12,23
8,25,10,20,5,23
15,25,14,18,6,19
9,24,17,18,8,18
14,21,11,17,8,21
4,16,14,17,15,21
9,25,14,19,8,19
8,26,9,14,6,24
11,17,15,21,14,20
14,24,12,18,9,18
14,26,7,13,6,20
7,13,6,19,16,19
1,1,9,24,21,9
2,0,10,24,22,0
4,8,0,6,7,0
2,4,0,4,2,0
1,2,0,0,4,0
1,3,0,2,5,1
0,3,0,1,7,0
6,7,4,0,8,0
14,29,16,3,1,0
21,36,19,13,0,1
15,24,16,15,5,14
6,22,4,18,12,20
8,27,11,14,9,20
9,25,12,17,7,20
12,25,14,18,4,19
6,29,13,22,3,21
12,21,8,18,8,18
6,25,8,24,4,25
14,27,10,15,5,25
7,26,7,20,6,24
9,27,10,20,3,19
9,24,9,21,8,23
16,23,9,14,7,19
7,17,5,21,12,21
0,4,5,25,19,14
